epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,10420.2,1.17372,0.75657,0.90389,0.78334,0.5232,0.61601,0.36934,1.31635,0.85503,0.95021,0.001585,0.001585,0.001585
172,10481,1.17757,0.75359,0.90495,0.78704,0.52087,0.61648,0.36902,1.31812,0.85674,0.95045,0.0015355,0.0015355,0.0015355
173,10541.9,1.16184,0.74503,0.9037,0.78569,0.5218,0.61677,0.36939,1.3186,0.85491,0.9504,0.001486,0.001486,0.001486
174,10603,1.17104,0.75017,0.90407,0.78637,0.52134,0.61659,0.36899,1.31883,0.85543,0.95053,0.0014365,0.0014365,0.0014365
175,10664.4,1.17077,0.74664,0.90568,0.7835,0.5218,0.61584,0.36881,1.31963,0.85439,0.95034,0.001387,0.001387,0.001387
176,10725.4,1.16735,0.74509,0.90637,0.78538,0.52108,0.61552,0.36849,1.31917,0.85656,0.95032,0.0013375,0.0013375,0.0013375
177,10786.4,1.16079,0.73835,0.90426,0.78822,0.52041,0.61489,0.36878,1.31902,0.8566,0.95034,0.001288,0.001288,0.001288
178,10847.1,1.15386,0.73916,0.89994,0.78799,0.51994,0.61592,0.36908,1.31885,0.85745,0.95036,0.0012385,0.0012385,0.0012385
179,10907.8,1.15494,0.74059,0.90239,0.78541,0.52116,0.61515,0.36923,1.31782,0.85788,0.95006,0.001189,0.001189,0.001189
180,10968.7,1.14889,0.73246,0.90184,0.78873,0.52226,0.61615,0.36902,1.319,0.86151,0.95019,0.0011395,0.0011395,0.0011395
181,11029.4,1.15318,0.73819,0.9026,0.78884,0.52155,0.61524,0.36829,1.31963,0.86402,0.95023,0.00109,0.00109,0.00109
182,11090.3,1.14419,0.73086,0.90155,0.78755,0.52087,0.61516,0.36897,1.31916,0.86395,0.95026,0.0010405,0.0010405,0.0010405
183,11151.3,1.14932,0.73027,0.90049,0.78486,0.52285,0.61478,0.36856,1.321,0.86679,0.95044,0.000991,0.000991,0.000991
